timestamp,event_type,detail,text
2026-05-08T23:19:09.382031+00:00,led_color,sample=1410,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.398135+00:00,led_color,sample=1420,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.431609+00:00,led_color,sample=1430,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.443961+00:00,led_color,sample=1440,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.453173+00:00,led_color,sample=1450,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.460167+00:00,led_color,sample=1460,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.467929+00:00,qbot_led_color,sample=30,"0.000,0.000,1.000"
2026-05-08T23:19:09.470584+00:00,led_color,sample=1470,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.488736+00:00,led_color,sample=1480,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.495553+00:00,led_color,sample=1490,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.502419+00:00,led_color,sample=1500,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.509195+00:00,led_color,sample=1510,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.515865+00:00,led_color,sample=1520,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.522242+00:00,led_color,sample=1530,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.529093+00:00,led_color,sample=1540,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.535368+00:00,led_color,sample=1550,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.541817+00:00,led_color,sample=1560,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.548908+00:00,led_color,sample=1570,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.555269+00:00,led_color,sample=1580,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.561866+00:00,led_color,sample=1590,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.568481+00:00,led_color,sample=1600,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.574990+00:00,led_color,sample=1610,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.581414+00:00,led_color,sample=1620,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.587600+00:00,led_color,sample=1630,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.594052+00:00,led_color,sample=1640,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.600817+00:00,led_color,sample=1650,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.607609+00:00,led_color,sample=1660,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.613802+00:00,led_color,sample=1670,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.626804+00:00,led_color,sample=1680,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.635388+00:00,led_color,sample=1690,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.644236+00:00,led_color,sample=1700,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.651114+00:00,led_color,sample=1710,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.657515+00:00,led_color,sample=1720,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.672484+00:00,led_color,sample=1730,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.678838+00:00,led_color,sample=1740,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.685167+00:00,led_color,sample=1750,"r=1.000,g=1.000,b=0.000,a=1.000"
